x,y,yaw,dir
4.8135,13.6717,1.5788,1
4.8123,13.8217,1.5788,1
4.8111,13.9717,1.5788,1
4.8099,14.1217,1.5788,1
4.8087,14.2717,1.5788,1
4.8075,14.4217,1.5788,1
4.8063,14.5717,1.5788,1
4.8051,14.7217,1.5788,1
4.8039,14.8717,1.5788,1
4.8027,15.0217,1.5788,1
4.8015,15.1717,1.5788,1
4.8003,15.3216,1.5788,1
4.7991,15.4716,1.5788,1
4.7979,15.6216,1.5788,1
4.7967,15.7716,1.5788,1
4.7955,15.9216,1.5788,1
4.7935,16.0716,1.5973,1
4.7852,16.2214,1.6635,1
4.7534,16.3206,1.7386,1
4.7213,16.4183,1.8287,1
4.6634,16.5137,1.9196,1
4.6142,16.6059,2.0076,1
4.5366,16.6741,2.0839,1
4.4606,16.7561,2.1389,1
4.3872,16.8319,2.1702,1
4.3181,16.9128,2.1757,1
4.2589,17.0152,2.1534,1
4.1996,17.1033,2.0955,1
4.1477,17.1997,2.0524,1
4.0988,17.3227,2.0396,1
4.0481,17.4230,2.0364,1
3.9829,17.5503,2.0356,1
3.9257,17.6844,2.0356,1
3.8708,17.7738,2.0356,1
3.8036,17.9079,2.0356,1
3.7360,18.0418,2.0467,1
3.6645,18.1737,2.1053,1
3.6053,18.2604,2.2319,1
3.4863,18.3527,2.3699,1
3.3915,18.4190,2.4614,1
3.2705,18.4579,2.5478,1
3.1553,18.5102,2.6344,1
3.0354,18.5241,2.7218,1
2.9307,18.5344,2.8098,1
2.8259,18.5521,2.9004,1
2.7075,18.5342,2.9864,1
2.6078,18.5173,3.0540,1
2.4579,18.4941,3.1160,1
2.3333,18.4937,3.1292,1
2.1926,18.4845,3.1265,1
2.0778,18.4846,3.1211,1
1.9778,18.4859,3.1177,1
1.8278,18.4895,3.1177,1
1.7278,18.5025,3.1142,1
1.6235,18.5009,3.1142,1
1.4779,18.5094,3.1142,1
1.3680,18.5021,3.1142,1
1.2280,18.5162,3.1142,1
1.1181,18.5090,3.1142,1
0.9781,18.5231,3.1142,1
0.8282,18.5272,3.1142,1
0.6682,18.5213,3.1142,1
0.5283,18.5354,3.1142,1
0.3783,18.5395,3.1142,1
0.2284,18.5431,3.1280,1
0.1184,18.5329,-3.1205,1
-0.0212,18.5234,-3.0270,1
-0.1588,18.4774,-2.8937,1
-0.2811,18.4053,-2.7578,1
-0.3777,18.3227,-2.6866,1
-0.5003,18.2311,-2.6366,1
-0.6235,18.1448,-2.6130,1
-0.7916,18.0474,-2.6077,1
