segment_id,segment_type,point_index,latitude,longitude,x_m,y_m,direction,mode,drive_level,event,from_node,to_node
T_A,mission_T,57,37.2881703269,127.1068788611,-35.431376,-49.676676,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,58,37.2881709358,127.1068805899,-35.278265,-49.608893,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,59,37.2881714449,127.1068825094,-35.108264,-49.552220,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,60,37.2881718528,127.1068844412,-34.937174,-49.506813,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,61,37.2881721336,127.1068864613,-34.758264,-49.475554,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,62,37.2881722983,127.1068883808,-34.588263,-49.457220,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,63,37.2881723432,127.1068906766,-34.384927,-49.452221,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,64,37.2881722084,127.1068929348,-34.184929,-49.467227,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,65,37.2881719539,127.1068948355,-34.016593,-49.495558,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,66,37.2881714599,127.1068972254,-33.804932,-49.550550,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,67,37.2881710406,127.1068989944,-33.648260,-49.597227,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,68,37.2881703220,127.1069012338,-33.449927,-49.677221,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,69,37.2881694132,127.1069033827,-33.259611,-49.778384,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,70,37.2881686751,127.1069050728,-33.109926,-49.860554,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,71,37.2881681361,127.1069065406,-32.979930,-49.920556,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,72,37.2881675383,127.1069084374,-32.811940,-49.987103,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,73,37.2881668796,127.1069103568,-32.641939,-50.060429,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,74,37.2881663256,127.1069119940,-32.496941,-50.122101,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,75,37.2881658165,127.1069136313,-32.351933,-50.178774,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,76,37.2881654123,127.1069151367,-32.218607,-50.223769,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,77,37.2881649033,127.1069172068,-32.035268,-50.280431,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,78,37.2881644391,127.1069187875,-31.895274,-50.332106,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,79,37.2881640349,127.1069201989,-31.770273,-50.377101,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,80,37.2881636553,127.1069213310,-31.670008,-50.419358,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,81,37.2881642146,127.1069196720,-31.816938,-50.357097,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,82,37.2881649136,127.1069178235,-31.980650,-50.279284,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,83,37.2881656807,127.1069159122,-32.149925,-50.193891,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,84,37.2881662347,127.1069142373,-32.298262,-50.132220,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
